song_id,fold,arousal_label,valence_label,proxy_oof,proxy_insample,aux_oof,aux_insample,human_calm_ref,human_tense_ref,arousal_lowest_quartile,arousal_lowest_decile,arousal_highest_decile,tense_low_valence_ref
2,2,3.0,3.1,4.482973719502091,3.0285890005371945,4.380442458339996,4.4098635088225695,False,False,True,True,False,False
3,4,3.3,3.5,3.068803986376997,3.2937787322483723,3.7761820877948438,3.7443778296889247,False,False,True,False,False,False
4,2,5.5,5.7,5.7022471078714965,5.497368837368116,5.171270780311541,5.244144023784318,False,False,False,False,False,False
5,2,5.3,4.4,4.32026674676881,5.276281843236626,4.551474794880147,4.55886183796646,False,False,False,False,False,False
7,3,6.4,5.8,6.149511708149932,6.402800388889438,5.232809172997383,5.198022332812589,False,True,False,False,False,False
8,2,4.8,3.2,3.845650875779073,4.806112401469449,4.225748313535714,4.228344812510039,False,False,False,False,False,False
10,2,4.7,4.0,4.087958967986984,4.698129021797,4.625617836616454,4.545938773932835,False,False,False,False,False,False
12,2,5.8,5.5,5.168788992721364,5.800097424604694,5.126975786394061,5.122700453968695,False,True,False,False,False,False
13,4,4.0,3.2,4.117421705030536,4.004341353615282,3.85675149495031,3.850048836317681,False,False,False,False,False,False
17,3,6.0,4.4,5.672129047198235,5.973229099079174,5.6922452346805175,5.654341167079392,False,True,False,False,False,True
18,1,3.9,4.8,3.9123222348761697,3.9133310974930087,4.599903747292039,4.645646185215278,False,False,False,False,False,False
19,3,4.3,5.9,4.260152190980868,4.297488786101797,5.121981363701242,5.0755402074178555,False,False,False,False,False,False
20,2,6.5,5.4,5.6278614778414395,6.479342226974818,5.887599466503797,5.86481539555685,False,True,False,False,True,False
21,4,6.3,6.6,6.182382349095085,6.282358940435307,5.4273859696353535,5.445058559340914,False,True,False,False,False,False
22,4,4.8,4.0,4.831897329502949,4.79890366422408,4.698839610594196,4.652988241774374,False,False,False,False,False,False
24,1,3.9,5.3,4.978250872943554,3.9234064269191564,4.87496331628627,4.89302446858521,False,False,False,False,False,False
25,3,4.7,7.9,5.430125860185527,4.703462769585748,5.3418148731987705,5.339941489552653,False,False,False,False,False,False
31,3,3.8,4.7,5.300038689868764,3.8161181798257493,5.600865004627657,5.48371859903565,False,False,True,False,False,False
32,1,3.3,4.2,4.24657672824586,3.307120654578437,4.562824729655634,4.51004214351925,False,False,True,False,False,False
35,3,6.5,4.8,6.347408831186003,6.5132673772537215,5.445480734644406,5.455700564478046,False,True,False,False,True,True
37,4,5.3,6.6,5.571542304920786,5.315563362458349,4.995263822534289,4.988774451229826,False,False,False,False,False,False
39,4,5.4,7.3,5.852456362127162,5.416411588009071,5.586866974740287,5.592052868246642,False,False,False,False,False,False
40,3,4.8,4.6,4.310597117299987,4.784511377335496,4.17744081268033,4.136710945526196,False,False,False,False,False,False
41,0,5.1,4.3,5.257308550044928,5.099935793969342,4.551253521042253,4.561674179326449,False,False,False,False,False,False
42,2,5.1,6.1,4.467295894102064,5.085885060940719,4.56610369940432,4.625386400452217,False,False,False,False,False,False
43,2,3.5,6.7,4.340988787554312,3.5094279222332134,5.000450499049651,4.940357213455741,True,False,True,False,False,False
44,4,4.9,3.9,5.0918995289421005,4.882357066135083,4.888590728167083,4.898582170034651,False,False,False,False,False,False
45,2,2.1,5.1,5.070926198622386,2.1351813727176396,4.668626817506994,4.595861526002308,True,False,True,True,False,False
46,3,4.0,5.3,5.783162463571176,4.051162652079505,4.893334077588863,4.906089410434694,False,False,False,False,False,False
47,0,4.4,4.4,6.349684142401954,4.443099058996609,5.1804724276226475,5.106098221679263,False,False,False,False,False,False
48,0,4.8,4.5,4.913575298257634,4.8105549590559145,4.692286942307258,4.710739756161814,False,False,False,False,False,False
49,1,5.3,3.9,4.493851112387418,5.283354696205301,4.534379704837796,4.532657030902136,False,False,False,False,False,False
50,0,4.8,3.6,3.4671882000390712,4.795060232657237,3.8933758021426126,3.852884541523159,False,False,False,False,False,False
51,2,3.2,3.6,4.202354077667325,3.213049106565902,4.2492943208542595,4.247865351485149,False,False,True,False,False,False
52,4,5.1,4.6,4.9433765839130634,5.099994796744094,5.475441186072699,5.527516092682741,False,False,False,False,False,False
53,3,5.1,4.3,4.216943580678057,5.09425629590584,4.06136086964892,4.133193577371118,False,False,False,False,False,False
54,3,3.3,3.1,4.363623692790557,3.339455660754491,3.6424777784158433,3.6045152680539654,False,False,True,False,False,False
55,4,5.4,5.8,5.387625102065628,5.391817376022917,4.812492286796757,4.822661558511982,False,False,False,False,False,False
56,3,5.8,6.4,5.280400757260719,5.795006201787428,5.198584084384618,5.297769034763464,False,True,False,False,False,False
58,2,3.4,3.3,4.557325928818304,3.405731037723455,4.472088130952086,4.450449970863759,False,False,True,False,False,False
59,4,4.1,5.3,4.832577254316441,4.113986799885487,5.117881904434819,5.1693727050639,False,False,False,False,False,False
60,2,6.4,4.3,5.412524941938284,6.392188868790348,5.069565845974807,5.0918969892249155,False,True,False,False,False,True
62,2,3.9,6.2,5.330944502192479,3.8965274958177516,4.71445118413619,4.609987460425919,False,False,False,False,False,False
64,1,4.9,3.6,5.632904807913116,4.902467828694897,4.954634285848687,4.96281591535478,False,False,False,False,False,False
65,0,5.8,6.4,5.696273202364632,5.806983480242023,5.265466592049599,5.264749684808036,False,True,False,False,False,False
67,2,6.8,7.2,6.657388724768495,6.780156065146703,5.424246924058021,5.453745952065775,False,True,False,False,True,False
68,3,4.9,3.8,5.350268834048998,4.900434415765624,5.0458717770338914,5.022789686471417,False,False,False,False,False,False
69,2,3.9,3.2,4.31837875080731,3.903181816389668,4.394151673553156,4.333688880040056,False,False,False,False,False,False
70,1,3.6,4.4,4.931164577621584,3.6132658798723227,4.653773735376763,4.704600463058684,False,False,True,False,False,False
71,0,3.7,5.9,3.7230575723146764,3.6854744369908143,5.132401188426401,5.002862516591336,True,False,True,False,False,False
72,3,5.6,6.7,6.2877922117547005,5.613068849801218,5.90223451392465,5.902969248850258,False,False,False,False,False,False
73,0,5.6,5.8,4.750820204625378,5.594631708716189,4.142655755298299,4.1656097679606745,False,False,False,False,False,False
74,2,4.3,3.0,4.550825238887948,4.291818233800982,3.9346244460647672,3.954042298940759,False,False,False,False,False,False
76,4,3.2,4.3,4.243996433726983,3.2002210532922732,4.4029158426049575,4.40891436490824,False,False,True,False,False,False
77,1,2.9,4.2,3.3227749895877494,2.9098377804832922,4.578856616156617,4.55214350853158,False,False,True,True,False,False
78,2,3.9,3.4,3.6969731723816905,3.899477862460433,3.4568020836957145,3.47407458098285,False,False,False,False,False,False
79,1,5.5,5.5,6.205672049320049,5.520050217278944,5.816815458180422,5.858394053532,False,False,False,False,False,False
80,3,5.1,6.0,5.7211475996896315,5.085937946757468,5.131703257090984,5.121055435737833,False,False,False,False,False,False
81,1,3.9,6.1,4.918262984664358,3.9075576115653883,5.465107704678732,5.404611943693716,False,False,False,False,False,False
82,0,3.5,2.9,3.573671289442317,3.4974279865799907,4.043837279092627,4.05784344714713,False,False,True,False,False,False
83,2,5.8,6.1,5.070639233573734,5.793701795937296,5.489567151794596,5.4433881626875715,False,True,False,False,False,False
84,3,5.6,5.9,6.499170167148039,5.613451347696568,5.5861877504715265,5.615482942344704,False,False,False,False,False,False
85,3,6.2,7.1,6.112978586903895,6.199684568473849,4.89185409297902,4.8382788890748625,False,True,False,False,False,False
